,sentence,answer
29,Copyright 2001 Times Internet Limit,0
30,Future US modules were red penciled,1
31,Mr Jaume Matas Minister for Environment Spanish Presidency of the EU Mrs Margot Wallstrom Commissioner for Environment European Commission It is clear that the proposals for US action on climate change are domestic,0
32,The world community became hopeful that it would be possible to solve the problems that brought about the UN Convention on Climate Change 1994,1
33,The pundits in Ottawa it seems have saved all of their praise for John Manley the new Deputy Prime Minister and a hometown favourite,1
34,The Bush administration either refuses to sign ratify or implement international treaties or asks for their revision,1
35,However all the parties repeated with insistence that world climate protection cannot be effective unless the United States takes measures that are comparable to these taken by Europe and Japan,1
36,Craner Can I talk about tangible advances in particular countri,1
37,At the Pentagon Mr Bush signed a 318 billion military spending bill today for the 2002 fiscal year,0
38,The spokesman said that despite these developments the report states the Govt s human rights record remained poor,0
39,In this report when referring to Iran the United States repeated its allegations against the Islamic Republic but failed to provide any evidence in support of its baseless charges,1
40,It can be derived from this that the US attack on Afghanistan without any logic was not an impulsive action but the psychology of maintaining US supremacy was fully involved in it,1
41,Forget space shuttles orbiting telescopes and more robotic rovers on Mars,1
42,America always follows its interests,1
43,Over the past years greenhouse gas emissions intensity in relation to GDP has been falling in the US,0
44,And a handcar will be added to the rail system so astronauts can move more easily along the truss which will be longer than a football field,0
45,If the US which claims to be the world s policeman is incapable of looking beyond US interests or of practicing the universal values of human rights democracy and peace then shouldn t the international community reconsider the role played by the UN or learn from the way the European parliament works,1
46,In the early hours of the morning chief of the armed forces General Lucas Rincon held a brief news conference to say Mr Chavez s resignation had been demanded and accepted,1
47,This November his disapproval rating reached 58 percent and his approval rating 33 percent,0
48,Last Tuesday before the US Senate s Foreign Policy Committee Powell voiced his concern over several actions by President Chavez and his ideas of what is a democratic system He also criticized the visits by the chief of state to countries that are on the black list of supporters of terrorism published by the administration of President George W Bush including Cuba Libya and Iraq,1
49,Amnesty International sought access to the prisoners in Guantanamo and said they should be allowed to have lawyers,1
50,The name change was Mr Carmona s first act as head of the transition government,0
51,People do not believe whatever the America says he concluded,1
52,But it nevertheless uses human rights issues to slander China CSSHR President Zhou Jue said,1
53,UN High Commissioner for Human Rights Mary Robinson Walter Schwimmer Secretary General of the Council of Europe and Ambassador Gerard Stoudmann of the OSCE s Office for Democratic Institutions and Human Rights said it was essential that states strictly adhere to their international obligations to uphold human rights and fundamental freedoms in the fight against terrorism,1
54,The space station s new residents also packed some personal items reflecting their hobbies,0
55,It lumped North Korea with Iran and Iraq as part of the axis of evil only to mislead Arabs and Muslims and to create the impression that Islam is not alone targeted,1
56,es In Uzbekistan we re undertaking a programme to help a variety of civil society groups around the country come together to formulate future pla,0
57,The Government of Pakistan therefore feels constrained to reject the assessment of the report about Pakistan and the tendency of some states to sit in judgement over others,1
58,Q Why can t you give us some indicati,0
59,The Annual Human Rights Report of the US State Department has been strongly criticized and condemned by many countries,1
60,Bill Nash a retired Army major general and senior fellow at the Council on Foreign Relations said this amounted to imposing on them a psychological sense of isolation domination and futility and trying to establish the conditions by which you can then reward them for information as oppose to punish them,1
61,,0
62,Facts Six greenhouse gases are known,0
63,After all the US is the first nation to have developed nuclear weapons,0
64,Taking their places will be Russian Yuri Onufrienko the next commander and Americans Carl Walz and Daniel Bursch,0
65,On Monday the 15 European Union member states agreed to be formally bound to the Kyoto accord and complete the ratification by June 1 this year,0
66,Since Israel suffers from terrorist attacks the report says it has been forced to take counter terrorism measures making its rights abuses understandable,1
67,The fact that he subsequently denied these speculations does not mean they are baseless,1
68,The Bush administration is offering its own alternative plan the Clear Skies and Global Climate Change Initiatives which aides say are more market sensitive and will reduce the worst air pollutants by 70 percent while finding a strategy to cut greenhouse gas intensity by 18 percent over the next 10 years,0
69,Keeping prisoners incommunicado sensory deprivation the use of unnecessary restraint and the humiliation of people through tactics such as shaving them are all classic techniques employed to break the spirit of individuals ahead of interrogation the organization said,1
70,Tsvangirai was responding to a question posed by a Canadian publicist with whom he was meeting and who subsequently signed a contract with ZANU PF,0
71,n,0
72,In perfect agreement with the latest polls on the popularity of President Hugo Chavez the most recent study by Alfredo Keller has confirmed the resounding and sustained fall of the approval rating the President had at the beginning of his administration,1
73,Vietnamese Minister of Science Technology and Environment Chu Tuan Nha told the first Asia Europe Meeting ASEM Environment Ministers Meeting ASEM EnMM in Beijing recently that Vietnam always values environmental protection including prevention of pollution or degradation bio diversity protection and improvement of the environment in industrial zones and in both urban and rural areas,1
74,Copyright 2000 The Daily Star,0
75,US activities meanwhile show no sign of promoting the universal values of democracy human rights and peace,1
76,Why Kyoto is a rip off,1
77,The US government report on Namibia s human rights practices for 2001 released this week says members of the security forces committed several extra judicial killings during security operations in the Kavango and Caprivi Regions during 2001,0
78,That was my bed says Janet a Harare secretary who waited for more than 27 hours at a polling station in the impoverished Harare suburb of Kuwadzana,0
79,Chien Hsi chieh is a DPP legislator and executive director of the Peacetime Foundation of Taiwan,0
80,Ambassadors from Middle Eastern countries immediately came and asked me what I thought of the President s speech This document is based exclusively on the content and behavior of selected foreign public media,0
81,On Saturday Congress began debating an emergency package that would grant vast special powers over the economy to Duhalde Argentina s fifth president in less than three weeks,0
82,Copyright 2002 National Post Online,0
83,His two day removal from office began when he tried to stack the board of the state owned oil company in his favor,0
84,A computer glitch marred the countdown as engineers frantically reloaded software finishing the job with just 11 seconds to spare,1
85,Copyright BBC,0
86,I haven t found a single scrap of any kind of information that suggests that anyone has been treated anything other than humanely,1
87,However night fell before the Alliance could secure the city increasing the danger of militants fighting back,0
88,They had to be protected from other scourges and social ills including disease narcotic drugs armed conflicts terrorism and other types of transnational organized crime it added,1
89,Whereas his approval rating reached 84 percent and his disapproval rating reached 11 percent in April 1999 both ratings crossed one another at 46 percent in August of this year,0
90,An estimate of the number of people killed in the operation ranges from 10 000 to 20 000,0
91,The United States has violated the UN spirit of not interfering in other countries internal affairs said Jin Yongjian a former deputy secretary general of the United Nations,1
92,By 2005 the EU intends to implement a cap and trade system covering 46 of all CO2 emissions in 2010,0
93,Space station commander Frank Culbertson had eagerly awaited the arrival of Endeavour his ride home,1
94,But environmentalists immediately attacked this US proposal,1
95,The report is generally quite frank and its wording strong but it proposes no corrective action,1
96,To cut the station s scope they argue violates international agreements and would essentially close off international use of the station,1
97,Q But I heard this befo,0
98,Copyright 2002 National Post Online,0
99,The report also cites Democratic Action leader Claudio Fermin who warned When Chavez came to the Presidency the United States was buying 1 75 million barrels a day,1
100,They want the dollar value of debt to remain constant no matter what the devaluation of the peso,1
101,Pentagon officials said some prisoners might also be sedated during the more than 20 hour flight but it was not clear whether that had happened,0
102,In The Kingston Whig Standard Paul Schliesmann writes Canadians don t need the kind of politician Brian Tobin had become flighty opportunistic and lacking in commitment to his job as a Member of Parliament,1
103,The researchers link the slower rate to implementation of the 1987 Montreal Protocol in which countries agreed to phase out production of gases that erode the Earth s protective ozone layer,0
104,The United States is these days ruled by an alliance between two main lobbies the arms lobby and the Zionist lobby which sees the world through the eyes of Ari el Sharon and his extremist government,1
105,Many political analysts fear a return to street violence when the devaluation measure passes and companies seek to avoid losses by raising prices for food and medicine,1
106,Though the American forces are expected to be involved initially in advising and training Filipino counterterrorist units senior American military officials have said they could become involved in direct military action if the Philippine government requested it,0
107,It shows that these so called truths are not true at all said Xirao Nima,1
108,The small trolley is designed to roll the station s Canadarm2 robotic arm from one construction site to another as work progresses on the station over the next several years,0
109,Craner You ll have to judge by the outco,0
110,A Valentine s Day gift for the polluters Carl Pope the director of the Sierra Club one of the major US environmental protection associations does not mince his words when describing the US plan to replace the Kyoto Protocol,1
111,The report uses many unsubstantiated stories to illustrate its unwarranted assertions,1
112,Speaking on behalf of the NGOs human rights organisation Hakam president Ramdas Tikamdas said the boycott was to protest the government s poor response to Suhakam s numerous recommendations thus far,1
113,Gangster species are appearing such as the locust which is moving toward the north where it has never been before,1
114,That according to foreign diplomats and Tsvangirai supporters could disenfranchise hundreds of thousands of young opposition supporters who live with their parents,1
115,Untitled,0
116,As a result the governments in Guatemala in 1954 and 1963 Dominican Republic in 1984 Brazil in 1965 and that of Chile in 1973 were toppled,0
117,There could be no expediency no compromise no lapse in vigilance he said,1
118,The burden really lies with Zimbabweans to fight peacefully for their own freedom He said the violence hunger and economic turmoil are strengthening his country s appetite for a public campaign for change,1
119,The report expressly points out that It is extremely easy for terrorists to find supporters in countries where human rights are not respected and where individual freedom is repressed To prove that human rights are important ammunition in the battle against terror then the US must attack terrorism to make human rights matter to these countries,1
120,More than 12 million children are living below the poverty line,0
121,Officials have said the prisoners come from a range of countries Britain Yemen China Saudi Arabia and Australia among them and that has also complicated the legal picture,0
122,We are not required to reduce emissions but over five years from 2008 through 2012 we do not have the right to exceed their volume,0
123,George Bush the U S President led the criticism from the West saying Washington would not recognize Mr Mugabe s government,1
124,The Nigerian government a key player in Africa s reaction to events in Zimbabwe will announce on Thursday its verdict on the elections Information Minister Jerry Gana said,0
125,But to help banks make up losses he plans to take gas exports and direct that money to shoring up banks,0
126,All of this is pretty well planned out because we have used it to house illegal migrant detainees in the past Cubans and Haitians Lucas said,0
127,Brasilia 16 Agencia Brasil ABr President Fernando Henrique Cardoso says that the principal challenge facing the president of Venezuela Hugo Chavez is reestablish normalcy following the conflicts of last week,0
128,It was adopted on 9 May 1992 and entered into force 21 March 1994,0
129,These were the right to life freedom of expression and religion and freedom from torture while it also urged that the retroactive imposition of more severe penalties for crimes be avoided,1
130,ed All rights reserv,0
131,The rail car installed outside the International Space Station on the crew s first spacewalk will have a top speed of just three centimetres per second but ground controllers may not open up the throttle all the way in their first test today anyway,0
132,,0
133,Cardoso also said he believes the US is committed to joining other nations in fighting the problem and will adopt domestic measures although they have formally renounced the Kyoto Protocol,1
134,1999 PLANS,0
135,The United States is currently run by a typical Texan mentality which is closer to that of cowboys than to a civilized mentality that believes in dialogue and coexistence among peoples,1
136,Russian security forces in Chechnya have demonstrated little respect for basic human rights and there were credible reports of serious violations including numerous reports of extrajudicial killings by both the government and Chechen fighters the report said,1
137,In eastern Afghanistan American B 1 and B 52 bombers dropped precision guided weapons on the sprawling Al Qaeda training camp at Zhawar Kili near the Pakistan border today for the sixth time in just over a week,0
138,But earlier this week Deputy Secretary of Defense Paul D Wolfowitz said that American Special Operations forces might become involved in direct support of Philippine military operations though he added that the government seemed anxious to do the job itself,1
139,He announced the government s intentions to sign the Kyoto treaty on Sunday during a workshop on climate change organised by the ministry and the United Nations Development Programme UNDP,0
140,This concentration grows in turn it is usually written due to the burning of a huge quantity of organic fuel oil natural gas coal wood peat etc by industry transport agriculture and households,0
141,As gear moved back and forth across the threshold Endeavour s astronauts used the ship s robot arm to lift an Italian built cargo carrier from the shuttle and attach it to the station,0
142,You see this tarred road and this grass,0
143,To give standing under a Geneva Convention to a terrorist organization that s not a country is something that I think some of the lawyers who did not drop out of law school as I did worry about as a precedent he said,1
144,The EU is determined to proceed with ratification of the Kyoto Protocol by June 2002 in view of entry into force by the time of the World Summit on Sustainable Development,1
145,If you want to think the worst about things you can he said,1
146,No court case was made against the others arrested nor they were given the right to defend themselves,0
147,,0
148,On Thursday a peaceful rally of more than 100 000 mainly middle class Venezuelans had ended in bloodshed,0
149,Rumor has it that the late author of the greenhouse model told Academician Roald Sagdeyev I m a little uneasy when I tell the Americans about my model because it suggests that Russia s agriculture will gain from global warming while America s agriculture will lose Sagdeyev looked at Budyko with interest But then where will we buy grain,1
150,True this position makes one think of Yemelya s illusory happiness and worry about the future development of the country both technological and economic as a whole,1
151,Chavez whose mandate was due to end in 2006 was forced out of office by the country s armed forces who blamed him for the deaths of 15 people during demonstrations in the streets of central Caracas against an opposition protest which later became violent,1
152,The reduction level varies,0
153,There is no danger of the 190 million railcar rolling off the track because of rings on both ends of the 44 foot girder Sellari said,0
154,Because strange as it may seem prolonged stagnant cold spells are also a result of global warming when there is less ventilation of the atmosphere as a whole,0
155,Mr Rumsfeld said today that he did not know how the prisoners would be restrained during the flight,0
156,AB,0
157,Atlantis astronauts plan a fourth and final spacewalk today to finish installing the girder,0
158,However he hoped that the people of the world can no more be kept in dark,1
159,The Middle East and many countries of the Third World were part of the plan,0
160,The future of the protocol which sets targets for all countries in an attempt to cut pollution will be decided this year at a meeting in Johannesburg,0
161,Elaborating further on the boycott Ramdas said the NGOs will not hold any dialogues send any memorandums or complaints to Suhakam,0
162,This is a crucial presidential election,1
163,The concern is that a loose fit might damage the orbiting complex because of the force imparted by a docking shuttle,1
164,Culbertson and his crewmates Vladimir Dezhurov and Mikhail Tyurin will move out of the space station today,0
165,America has a double standard policy,1
166,US President George W Bush presented 14 February his alternative plan to the Kyoto Protocol which is designed to slow down global warming,0
167,This action shows that the NGOs themselves do not acknowledge Suhakam and do not want to work with us said Hamdan,1
168,I am telling you what I believe in every inch of my body to be the truth and I have spent a lot of time on secure video with the people down there he told reporters referring to the United States naval base at Guantanamo Bay Cuba where 158 prisoners from the war in Afghanistan are being jailed,1
169,Supported by the world the United States launched the war against terrorism of this century,1
170,But that did not stop Taliban commanders discussing the surrender of Kandahar following calls from 70 Afghan tribal leaders for them to avert bloodshed,0
171,Japan and the U S can cooperate over the development of new technologies in the field and that such technologies will help notonly the environment but also economic development they agreed,1
172,If it is successful in Argentina it could become a reference said Eduardo Curia an independent economist in Buenos Aires,1
173,He explained that both the US and Jordan have different issues to deal with on a national level including environmental issues,0
174,It provides for economic mechanisms of international cooperation,0
175,And what will happen during the new overly warm summer seasons,0
176,A moment later she had decided and the polling agent smiling put an X mark on the ballot in the space marked Robert Mugabe ZANU PF,0
177,The responsibility for the event in which a Chinese plane crashed and a Chinese pilot perished lies completely with the US side,1
178,Ramdas said Suhakam s performance will be judged not on the number of statements issued or reports produced but on the improvement of human rights in Malaysia,1
179,Come to think of it acquiring weapons of mass destruction per se may not be a correct basis for judging whether a nation is good or evil,1
180,Name,0
181,Hameed Gul was of the opinion that the US was the only country in the world that had no respect for any religion faith norms decency human rights and rules,1
182,o,0
183,Rather his sudden departure from politics provoked much criticism,1
184,Cao said the smuggled Bibles were editions translated by the Shouters sect,0
185,This is in fact the fear of all countries as they feel that democratic regimes are more restrained and responsible when it comes to resorting to weapons of mass destruction,1
186,It has no right to issue such a false human rights report experts said,1
187,The convention was designed to unite efforts to prevent dangerous climate changes and to achieve a stabilization of the content of greenhouse gases in the atmosphere at a relatively safe level,0
188,The government was taking no chances of a popular uprising putting the military on alert and setting up police roadblocks around Harare and other large cities,0
189,The report s reference to intelligence agents monitoring the activities of opposition politicians and tapping the phones of certain government leaders is a serious matter and harms Lebanon s image as a democratic country the source added,1
190,The DAWN Group of Newspapers 2002,0
191,The Bush administration brushed aside suggestions Tuesday that it quietly encouraged the removal of Chavez,1
192,You spent a few extra days in Florida NASA launch director Mike Leinbach told Atlantis commander Mike Bloomfield moments before liftoff,0
193,i,0
194,Once coming to power Bush insisted on deploying the National Missile Defense System NMD,1
195,At our instigation on 4 March EU environment ministers therefore called on the United States to assume its responsibilities under the framework agreement on climate change that is to stabilize greenhouse gas emissions at 1990 levels and strengthen domestic actions to bring them into line with the level of effort accepted by the industrial countries in application of the Kyoto Protocol,1
196,But the agency s credibility has come under fire in manned spaceflight especially the International Space Station now completing its first year of full time crews,1
197,Zimbabwe s incumbent President Robert Mugabe has won the country s closest fought presidential election since independence 22 years ago the final election results showed Wednesday,0
198,The track runs along a 44 foot girder that space shuttle Atlantis astronauts delivered and bolted to the orbiting outpost last week,0
199,It only wants the international treaties that benefit the US security and economy and globalization,1
200,It signed the Optional Protocols to Convention on the Rights of Child,0
201,Representatives from Japan and the United States have finished two days of talks Tuesday on climate change in Tokyo,0
202,He was not sure the Kyoto Protocol actually went far enough,1
203,It is striking that the approach which is considered beneficial for other air pollutants namely to implement cap and trade programmes is not extended to CO2 emissions from the power sector,1
204,Opposition critics attacked the Prime Minister for not immediately denouncing the election,1
205,Author BY JON JETER,0
206,Yet rising temperatures pose little threat to Canada,1
207,The report said China should not have arrested Li a Hong Kong businessman who was charged with smuggling Bibles into the country in July,0
208,They will stay aboard until May,0
209,These circles have persistently tried to reanimate the Chechen problem and turn it again into an irritant in the Russian American dialogue the ministry said,1
210,The Kyoto climate treaty is another international effort to limit greenhouse gases and fight global warming,0
211,A tribunal formed by the United Nations must address the issue of these captured fighters and determine how they will be dealt with,1
212,Computer selected and disseminated without FBIS editorial intervention By Yukiko Ochi Tokyo Feb,0
213,If to this we add the President s constant aggressive attitude and readiness to establish ties between Venezuela and parasitic economies that give us nothing but fulfill his political commitments we will very likely continue to lose our edge in the US market According to Fermin the chief of state still does not understand that if there is no confidence there will be no investments,1
214,U S officials have partially endorsed that view pointing to rebel leaders such as Shamil Basayev and the Jordanian born Omar Ibn al Khattab who are believed to have financial and other ties to Osama bin Laden s al Qaida terrorist network,1
215,In exchange for support for its war on terror the US is tacitly agreeing to ignore abuses by other members of the anti terror coalition,1
216,Kiko Network also sent an e mail message to Koizumi urging the premier to call on Bush to return to the Kyoto Protocol at an early stage and to inform him of Japan s plan to ratify the Kyoto Protocol after the Diet approves ratification during the current Diet session,1
217,The report says even though the Namibian Constitution provided that people arrested must be informed of the reason for their arrest and be brought before a magistrate within 48 hours of their detention this has not been the case,1
218,Copyright by People s Daily Online all rights reserved,0
219,The Bush plan is based on a prolongation of this trend thereby in effect foreseeing little more than continuation on a business as usual path,1
220,Your feedback is important to us,0
221,A small circle of experts in the presence of an even smaller circle of journalists attempted to define Russia s place in global climatic strategy,0
222,The current US administration will consult with no one not even its closest allies whether in Europe or its followers in the Third World particularly in the Arab world,1
223,We have just observed such a case of a very lengthy thaw in the center of Russia,0
224,Governments are expected to protect the national economy and they should deviate from that mission only when crucial national interests are at stake fighting terrorism for example,1
225,Our enemies rely upon surprise and deception,1
226,That could ease pressure on Mugabe to remain in power to avoid prosecution for his government s attack in the 1980s in Matabeleland the home of the Ndebele tribe which at the time posed the most significant threat to his leadership,0
227,That is all of our actions are accompanied by a deterioration in the climate,0
228,The Korean Government notes that the new U S Government initiative adopts a flexible and gradual approach to reducing greenhouse gas emissions and that it takes into consideration the concerns of developing countries the statement said,1
229,ZANU PF officials have told election observers that they intend to increase the number of polling stations in rural areas believed to be their strongholds and reduce the number of stations in urban areas where there is strong support for the opposition,1
230,Q Is that something we ve talked to the Saudis abo,0
231,This proposal places no obligation whatsoever on industrialists and is based on voluntary measures and tax incentives,1
232,The source said the most serious point in the report was an observation that the judiciary was subjected to political pressure but referring to it as being independent in principle,1
233,AB,0
234,Q Inaudible before that previous administrations have done before on Saudi Arab,0
235,CAPE CANAVERAL AP A Russian supply ship docked to the International Space Station on Wednesday but may not have latched properly into place,0
236,Zimbabwe s economy has imploded unemployment is near 60 inflation is running at 112 a year and many people in this former breadbasket are going hungry,0
237,Craner Well yeah I understa,0
238,We cannot accept it by any means,1
239,Such desperation by Mugabe should not be condoned by African leaders,1
240,The EU will further examine and assess the proposals by President Bush in the weeks to come and is willing to continue the dialogue with the US on this basis,0
241,Mugabe 78 remained defiant blaming racism for the criticism and pledging to accelerate his land reform program under which the country s most fertile land has been seized from white commercial farmers for redistribution to poor landless blacks,1
242,This was not simply a directive from God that was confirmed by all the clerics throughout the Islamic world,1
243,If microflora stop reproducing humus the higher plants will die agricultural crops will stop growing and timber will start to dry up,0
244,Iran Sunday last week sent congratulations to Venezuela on hearing of the return of the rule of law and reinstatement of the legitimate government of President Chavez after the two day military collapsed,1
245,Briefing on the remarks by the representative of Thailand it said Human rights and development were two sides of the same coin and should be addressed in tandem People should be at the center of social and economic development efforts,1
246,Copyright 2001 Miami Herald,0
247,Copyright by People s Daily Online all rights reserved,0
248,This is not a fair election he says,1
249,The United States thinks that it can silence the justice seeking cries of the peoples of the world with the sound of explosions from 7 ton bombs and it thinks that it can justify its own inhuman behavior in the shadow of this noise,1
250,Since then the United States has sent an array of equipment to the Philippine military including a C 130 cargo plane 30 000 M 16 rifles and 8 UH 1 Huey helicopters,0
251,Instead the US government produced its own alternative climate change strategy aimed at encouraging industries to trim their emissions,0
252,But he may be what the agency needs right now,1
253,Craner We re getting the,0
254,We just want someone who can give us food hospitals school fees,1
255,We foresaw electoral fraud but not daylight robbery he said during a brief news conference yesterday,1
256,The massive robotic arm Canada s contribution to the multi national space station lifted the truss segment out and away from the shuttle s cargo bay and attached it on the station s laboratory module,0
257,The White House hastened to describe the Bush plan as the most audacious program in American history aiming at reducing power station gas emissions But environmentalists immediately attacked this US proposal,1
258,There are some talks and negotiations going on there in Kandahar with the Taliban to surrender themselves Gen Mohammed Zaer Azimi said in Herat,0
259,What does this lead to,0
260,,0
261,The intention of course is that you frustrate as many voters as you can,1
262,And what they have said about him has not been pretty,1
263,He told an audience assembled in the colonial style State House mansion that his victory was a triumph against the West and whites who he said had aligned against him and his governing party the Zimbabwe African National Union Patriotic Front,1
264,His behaviour has violated the Chinese law said the Rev Cao Shengjie of the China Christian Council,1
265,FAX,0
266,So although our international staff went back to Kabul and hope to go back to the other places,0
267,Mr Chavez is currently detained at Fuerte Tiuna army base in Caracas and could face possible charges for his role in the killings,0
268,m The Washington Times last weekend carried an article by Andrew Welsdan a representative of the US Fund for Reconciliation and Development rejecting the report s allegation of human rights in Vietna,1
269,If the Argentine peso is also devalued about 30 percent as is expected a car loan of 10 000 would be worth about 7 000,0
270,He stressed that handling state to state relations should follow the purposes and principles of the United Nations Charter the Five Principles of Peaceful Co existence and the principle that all countries should be treated on an equal footing,1
271,Referring to the objective of those who were behind the military coup in Venezuela Chavez said they wwanted to have Venezuela come out from the Organization of the Petroleum Exporting Countries OPEC and therefore tried to produce more oil in order to undermine the organization,1
272,Because the base is not on U S soil people detained there are not entitled to American residency and eventual citizenship privileges,0
273,Instead of resorting to such measures the commissioner said the NGOs should work with Suhakam for the advancement of human rights in this country,1
274,Film footage also caught armed supporters of Mr Chavez firing indiscriminately at the marchers,1
275,AB,0
276,Q But what is it that doesn t answer the questi,1
277,Recently the system of joint electorates has been introduced respecting the wishes of the minority communities the spokesman said,0
278,The study was conducted among a sample of 1 000 adults from different socioeconomic groups in Caracas Maracaibo Valencia San Cristobal Barquisimeto Maracay Barcelona Puerto La Cruz Puerto Ordaz and Maturin,0
279,Hard on the heels of that decision the US negotiation representative Marie Chevrier announced in Geneva that the Bush administration would not support the implementation of the Biological Weapons Convention and that the United States strongly objected to the concrete enforcement plan of this convention,1
280,The statement said that several hundred documents have been signed to promote human rights and different cultures have put forward their outlooks about human rights and envisaged measures to stop violation of human rights,1
281,Zimbabwe s president is sworn in,0
282,The solidarity would bring about an international campaign to dry up the roots of terrorism and expand peace and security in the international community but certain countries resort to military power and embark on trampling upon human rights of civilians,1
283,When they are being moved from place to place will they be restrained in a way so that they are less likely to be able to kill an American soldier,0
284,Despite the logistical hurdle of moving at least several dozen presumably dangerous men around 8 000 miles from Afghanistan Rumsfeld called Cuba the least worst place,1
285,Shivute also said the report carried a total confusion of historical data by claiming that the National Union of Namibian Workers NUNW was no longer affiliated to the Swapo Party,1
286,Researchers have shown that without a determined policy on climate coordinated at international level the consequences of climate change will be dramatic,1
287,Conditions for detainees in Guantanamo Bay are harsh wire mesh cells 2 4 by 1 8 metres a sleeping mat and blanket a bucket for a toilet writes the Citizen,1
288,From this group 49 percent believe that a hypothetical replacement of the chief of state should take place through the institutional channels whereas 5 percent agree with using forceful means,1
289,The takeovers and occupations of farms lack of transparency and political violence have led many international donors to cut funding to Zimbabwe which is in the fourth year of a recession and a worsening food shortage,0
290,Indeed the U S Administration which claims to advocate international human rights issues and which tries to play the role of a world policeman is actually condoning the most atrocious human rights violations committed in the United States itself,1
291,Astronauts Linda Godwin and Daniel Tani floated out of space shuttle Endeavour and grabbed onto the ship s robot arm for a 50 foot ride up the side of the space station,0
292,Local authorities have expressed dissatisfaction but not surprise with regard to excerpts about Lebanon in the US State Department s annual report on human rights a copy of which has been delivered to the Foreign Ministry,1
293,Mr Tsvangirai asked,0
294,The United States often says that although al Qaida members and the Taliban are Muslims US troops are bombing them because they are terrorists not Muslims he said,0
295,During President Bush s speech I thought of heckling What are you going to do with the Kyoto Protocol and How about CTBT but I refrained,1
296,Tehran Dec 9 IRNA Tehran based Islamic Human Rights Commission IHRC on Sunday expressed concern about return of the period in which force and weapon had the last say in international relations,1
297,Recently the Information Office of the Chinese People s Congress released a report on human rights in the United States in 2001 criticizing violations of human rights there,1
298,The difference is back then Chavez candidacy raised expectations,1
299,Copyright 2002 The Christian Science Monitor,0
300,We disapprove of the use of such words in international relations said Kong who also made the same comment when answering related questions earlier,1
301,5 14pm Sat May 4th 2002 Thirty two non governmental organisations NGOs today said they have suspended all engagements with the Malaysian Human Rights Commission or Suhakam for 100 days since April 24 when the latest appointments to the commission took effect,0
302,A catastrophe would engulf every country if the US arms industry progressed at the expense of the world s security and stability,1
303,The railcar is needed to transport the space station s 58 foot robot arm from one end of the outpost to the other as more girders are installed,0
304,Chinese Foreign Ministry spokesman Kong Quan said Friday that China disapproves of the use of such words as the axis of evil in international relations,1
305,Both the economy and the environment can be improved together We d like to see further efforts on the part of the U S the Japanese leader added,1
306,In the meantime we will monitor the commissioners in the discharge of their statutory duties in respect of the pending complaints and inquires he said,1
307,The new residents form fitting seat liners for the lifeboat had to be carried over and installed and their space suits tucked away before they could call space station Alpha home,0
308,U S companies had investments totaling more than 16 billion in Argentina through 1999 according to the State Department,0
